Member_number,Date,itemDescription,cleaned,mapped
3786,21-10-2014,hard cheese,hard cheese,hard cheese
3285,21-10-2014,other vegetables,other vegetables,vegetables
3159,18-04-2014,napkins,napkins,napkins
3820,26-07-2014,bottled beer,bottled beer,beverages
1808,15-12-2014,citrus fruit,citrus fruit,citrus fruit
4860,22-02-2014,rolls/buns,rollsbuns,bakery
1928,23-05-2014,newspapers,newspapers,stationery
1438,19-01-2014,yogurt,yogurt,yogurt
4290,26-03-2014,processed cheese,processed cheese,dairy
1818,08-12-2014,bottled water,bottled water,bottled water
1176,04-08-2014,sugar,sugar,sweeteners
4879,19-09-2014,bottled beer,bottled beer,beverages
1574,17-06-2014,onions,onions,vegetables
1045,10-04-2014,specialty chocolate,specialty chocolate,sweets
1168,31-10-2014,herbs,herbs,herbs
4648,03-10-2014,flour,flour,grains
1931,04-03-2014,bottled water,bottled water,bottled water
2868,04-03-2014,oil,oil,oils
3082,22-07-2014,domestic eggs,domestic eggs,domestic eggs
2935,21-04-2014,whipped/sour cream,whippedsour cream,dairy
2639,08-06-2014,canned fish,canned fish,canned fish
2789,12-07-2014,citrus fruit,citrus fruit,citrus fruit
4153,14-02-2014,UHT-milk,uhtmilk,uhtmilk
3761,12-02-2014,grapes,grapes,fruits
4444,25-04-2014,long life bakery product,long life bakery product,bakery
2824,05-09-2014,frozen fish,frozen fish,fish
1146,12-07-2014,shopping bags,shopping bags,bags
4796,02-03-2014,curd cheese,curd cheese,dairy
4586,26-09-2014,newspapers,newspapers,stationery
1987,29-10-2014,yogurt,yogurt,yogurt
4376,07-12-2014,soda,soda,soda
2511,18-06-2014,turkey,turkey,meat
3364,06-05-2014,herbs,herbs,herbs
4471,08-10-2014,yogurt,yogurt,yogurt
2022,23-02-2014,yogurt,yogurt,yogurt
1097,16-04-2014,whole milk,whole milk,whole milk
1510,03-12-2014,canned beer,canned beer,beverages
1521,26-12-2014,seasonal products,seasonal products,seasonal products
2601,28-02-2014,curd,curd,curd
1314,05-09-2014,ice cream,ice cream,ice cream
3657,28-11-2014,white bread,white bread,bakery
4693,08-06-2014,root vegetables,root vegetables,root vegetables
3095,22-07-2014,specialty vegetables,specialty vegetables,specialty vegetables
1274,25-04-2014,cream cheese ,cream cheese,dairy
2164,19-11-2014,bottled beer,bottled beer,beverages
2447,14-04-2014,other vegetables,other vegetables,vegetables
3778,22-11-2014,frozen meals,frozen meals,frozen meals
4219,21-09-2014,sliced cheese,sliced cheese,sliced cheese
4382,01-03-2014,spices,spices,spices
2612,30-07-2014,soda,soda,soda
3899,27-01-2014,whole milk,whole milk,whole milk
4318,09-08-2014,specialty fat,specialty fat,specialty fat
1305,26-07-2014,root vegetables,root vegetables,root vegetables
4991,22-12-2014,root vegetables,root vegetables,root vegetables
2998,30-10-2014,semi-finished bread,semifinished bread,semifinished bread
3327,16-07-2014,rolls/buns,rollsbuns,bakery
4115,08-02-2014,yogurt,yogurt,yogurt
1201,24-11-2014,coffee,coffee,coffee
1595,27-06-2014,newspapers,newspapers,stationery
2017,12-11-2014,waffles,waffles,bakery
3142,11-05-2014,rolls/buns,rollsbuns,bakery
4862,12-10-2014,white bread,white bread,bakery
4245,13-09-2014,whole milk,whole milk,whole milk
2570,19-06-2014,root vegetables,root vegetables,root vegetables
2839,29-06-2014,red/blush wine,redblush wine,beverages
3626,11-06-2014,other vegetables,other vegetables,vegetables
2119,06-07-2014,cat food,cat food,pet_care
3409,08-09-2014,brown bread,brown bread,brown bread
1842,30-05-2014,newspapers,newspapers,stationery
1568,09-03-2014,coffee,coffee,coffee
3050,03-05-2014,root vegetables,root vegetables,root vegetables
2577,28-06-2014,citrus fruit,citrus fruit,citrus fruit
1898,11-11-2014,sugar,sugar,sweeteners
1946,08-11-2014,whipped/sour cream,whippedsour cream,dairy
4075,02-12-2014,brown bread,brown bread,brown bread
2401,25-06-2014,butter,butter,butter
2014,08-10-2014,bottled water,bottled water,bottled water
2081,18-05-2014,whole milk,whole milk,whole milk
2838,19-04-2014,berries,berries,berries
4319,29-09-2014,butter,butter,butter
2122,16-09-2014,domestic eggs,domestic eggs,domestic eggs
3099,20-09-2014,soda,soda,soda
2077,28-04-2014,hard cheese,hard cheese,hard cheese
4881,30-12-2014,butter,butter,butter
1373,28-04-2014,soda,soda,soda
2514,24-06-2014,citrus fruit,citrus fruit,citrus fruit
4772,19-12-2014,soda,soda,soda
4592,20-06-2014,newspapers,newspapers,stationery
1468,12-04-2014,salty snack,salty snack,snacks
3879,14-10-2014,grapes,grapes,fruits
3805,20-07-2014,rolls/buns,rollsbuns,bakery
1392,15-08-2014,butter,butter,butter
4961,02-11-2014,candy,candy,sweets
4541,07-10-2014,semi-finished bread,semifinished bread,semifinished bread
4206,07-04-2014,domestic eggs,domestic eggs,domestic eggs
2187,22-08-2014,newspapers,newspapers,stationery
1087,25-07-2014,whole milk,whole milk,whole milk
3251,05-11-2014,rolls/buns,rollsbuns,bakery
3582,08-04-2014,whole milk,whole milk,whole milk
3924,12-01-2014,pastry,pastry,pastry
3193,29-05-2014,yogurt,yogurt,yogurt
1371,17-08-2014,misc. beverages,misc beverages,misc beverages
3111,19-02-2014,bottled water,bottled water,bottled water
1585,20-04-2014,whole milk,whole milk,whole milk
4817,13-06-2014,butter,butter,butter
4207,21-10-2014,candy,candy,sweets
1158,19-02-2014,bottled water,bottled water,bottled water
4637,07-04-2014,napkins,napkins,napkins
1231,23-11-2014,soda,soda,soda
2217,24-04-2014,curd,curd,curd
4933,01-08-2014,root vegetables,root vegetables,root vegetables
3153,26-10-2014,brown bread,brown bread,brown bread
3827,28-02-2014,bottled water,bottled water,bottled water
1427,26-06-2014,butter,butter,butter
1151,12-12-2014,soft cheese,soft cheese,dairy
3206,05-11-2014,instant coffee,instant coffee,beverages
1979,12-04-2014,brown bread,brown bread,brown bread
2346,23-12-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1443,13-01-2014,dessert,dessert,dessert
4791,27-02-2014,long life bakery product,long life bakery product,bakery
3321,11-03-2014,rolls/buns,rollsbuns,bakery
4335,17-07-2014,margarine,margarine,margarine
1517,03-09-2014,salty snack,salty snack,snacks
4140,02-01-2014,newspapers,newspapers,stationery
3140,15-12-2014,shopping bags,shopping bags,bags
4245,21-11-2014,tropical fruit,tropical fruit,tropical fruit
3481,30-05-2014,other vegetables,other vegetables,vegetables
3107,23-04-2014,canned beer,canned beer,beverages
3015,07-08-2014,other vegetables,other vegetables,vegetables
4248,09-10-2014,margarine,margarine,margarine
4510,04-12-2014,butter,butter,butter
3306,05-06-2014,whole milk,whole milk,whole milk
1601,09-08-2014,frozen vegetables,frozen vegetables,vegetables
2787,28-04-2014,long life bakery product,long life bakery product,bakery
3931,19-07-2014,pastry,pastry,pastry
1590,21-06-2014,pip fruit,pip fruit,pip fruit
3188,16-10-2014,chocolate marshmallow,chocolate marshmallow,sweets
4021,09-09-2014,other vegetables,other vegetables,vegetables
3785,16-07-2014,domestic eggs,domestic eggs,domestic eggs
1682,10-09-2014,berries,berries,berries
1480,25-05-2014,grapes,grapes,fruits
4165,06-10-2014,syrup,syrup,syrup
4786,04-05-2014,frozen fish,frozen fish,fish
4748,19-04-2014,whole milk,whole milk,whole milk
4342,01-09-2014,whole milk,whole milk,whole milk
2483,21-02-2014,canned beer,canned beer,beverages
4243,30-03-2014,margarine,margarine,margarine
3075,12-04-2014,root vegetables,root vegetables,root vegetables
1983,26-06-2014,rolls/buns,rollsbuns,bakery
4567,16-03-2014,other vegetables,other vegetables,vegetables
3459,21-06-2014,whole milk,whole milk,whole milk
2369,23-07-2014,fish,fish,fish
1998,13-10-2014,pork,pork,meat
4685,20-01-2014,pip fruit,pip fruit,pip fruit
2036,20-07-2014,soda,soda,soda
1094,26-08-2014,other vegetables,other vegetables,vegetables
3953,19-05-2014,root vegetables,root vegetables,root vegetables
2303,31-01-2014,grapes,grapes,fruits
2930,25-04-2014,other vegetables,other vegetables,vegetables
2187,26-12-2014,domestic eggs,domestic eggs,domestic eggs
3595,17-01-2014,curd,curd,curd
3956,19-12-2014,root vegetables,root vegetables,root vegetables
1595,26-01-2014,yogurt,yogurt,yogurt
2597,25-10-2014,root vegetables,root vegetables,root vegetables
1717,06-04-2014,pip fruit,pip fruit,pip fruit
3544,12-03-2014,flower (seeds),flower seeds,gardening
2226,06-09-2014,whole milk,whole milk,whole milk
3696,02-11-2014,sparkling wine,sparkling wine,beverages
4804,10-08-2014,other vegetables,other vegetables,vegetables
1333,10-10-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4892,27-12-2014,herbs,herbs,herbs
2109,22-06-2014,bottled water,bottled water,bottled water
1737,04-09-2014,flour,flour,grains
1778,27-11-2014,bottled water,bottled water,bottled water
2921,27-11-2014,other vegetables,other vegetables,vegetables
1129,25-01-2014,baking powder,baking powder,baking_ingredients
4739,04-02-2014,yogurt,yogurt,yogurt
4024,15-10-2014,butter,butter,butter
4140,20-02-2014,whole milk,whole milk,whole milk
2201,30-05-2014,ice cream,ice cream,ice cream
1815,24-10-2014,other vegetables,other vegetables,vegetables
3659,13-04-2014,shopping bags,shopping bags,bags
1569,20-05-2014,berries,berries,berries
3708,27-10-2014,pip fruit,pip fruit,pip fruit
2394,18-10-2014,nuts/prunes,nutsprunes,nutsprunes
2366,07-10-2014,chewing gum,chewing gum,chewing gum
3603,04-11-2014,brown bread,brown bread,brown bread
1049,07-01-2014,margarine,margarine,margarine
4086,17-10-2014,dessert,dessert,dessert
3577,07-02-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
3487,09-02-2014,bottled water,bottled water,bottled water
1399,23-09-2014,rice,rice,grains
4561,27-01-2014,berries,berries,berries
3571,31-10-2014,other vegetables,other vegetables,vegetables
1830,07-06-2014,bottled water,bottled water,bottled water
1426,18-11-2014,specialty chocolate,specialty chocolate,sweets
2851,11-04-2014,bottled beer,bottled beer,beverages
2709,02-04-2014,bottled water,bottled water,bottled water
1741,08-10-2014,packaged fruit/vegetables,packaged fruitvegetables,fruits_vegetables
1888,09-05-2014,whole milk,whole milk,whole milk
3500,20-11-2014,other vegetables,other vegetables,vegetables
1136,04-06-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4297,03-10-2014,yogurt,yogurt,yogurt
2464,21-10-2014,pastry,pastry,pastry
3711,20-05-2014,domestic eggs,domestic eggs,domestic eggs
2508,21-09-2014,bottled water,bottled water,bottled water
2901,10-07-2014,other vegetables,other vegetables,vegetables
1142,10-12-2014,soda,soda,soda
1564,15-11-2014,pip fruit,pip fruit,pip fruit
4791,04-02-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1150,29-08-2014,berries,berries,berries
1499,11-05-2014,sliced cheese,sliced cheese,sliced cheese
3278,13-03-2014,coffee,coffee,coffee
1038,28-01-2014,napkins,napkins,napkins
3225,23-07-2014,soda,soda,soda
1728,22-06-2014,rum,rum,beverages
3361,24-12-2014,berries,berries,berries
1349,13-12-2014,cat food,cat food,pet_care
3315,25-09-2014,canned beer,canned beer,beverages
1897,15-07-2014,other vegetables,other vegetables,vegetables
2883,09-05-2014,rolls/buns,rollsbuns,bakery
4341,12-02-2014,chocolate marshmallow,chocolate marshmallow,sweets
4933,21-04-2014,butter,butter,butter
4926,20-11-2014,salty snack,salty snack,snacks
4256,03-02-2014,tropical fruit,tropical fruit,tropical fruit
1450,20-05-2014,canned beer,canned beer,beverages
4369,05-08-2014,red/blush wine,redblush wine,beverages
3266,14-12-2014,semi-finished bread,semifinished bread,semifinished bread
2287,04-05-2014,UHT-milk,uhtmilk,uhtmilk
4444,09-07-2014,canned beer,canned beer,beverages
1860,26-07-2014,semi-finished bread,semifinished bread,semifinished bread
2854,19-06-2014,shopping bags,shopping bags,bags
1929,14-04-2014,yogurt,yogurt,yogurt
3105,12-04-2014,whipped/sour cream,whippedsour cream,dairy
1628,25-10-2014,whole milk,whole milk,whole milk
4077,31-01-2014,whole milk,whole milk,whole milk
3864,26-03-2014,newspapers,newspapers,stationery
2024,17-05-2014,canned beer,canned beer,beverages
4635,17-10-2014,margarine,margarine,margarine
2996,29-04-2014,butter milk,butter milk,dairy
4823,06-04-2014,dish cleaner,dish cleaner,cleaning
2253,16-12-2014,butter milk,butter milk,dairy
4527,02-01-2014,curd,curd,curd
4692,29-08-2014,root vegetables,root vegetables,root vegetables
5000,09-03-2014,onions,onions,vegetables
1736,11-03-2014,soda,soda,soda
2702,12-11-2014,brown bread,brown bread,brown bread
2065,28-01-2014,other vegetables,other vegetables,vegetables
1361,03-09-2014,salty snack,salty snack,snacks
4721,26-01-2014,tropical fruit,tropical fruit,tropical fruit
3529,23-01-2014,other vegetables,other vegetables,vegetables
1052,05-12-2014,hamburger meat,hamburger meat,meat
2178,26-01-2014,salt,salt,spices
4883,26-12-2014,whole milk,whole milk,whole milk
1899,07-02-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4679,02-02-2014,shopping bags,shopping bags,bags
2115,19-09-2014,whipped/sour cream,whippedsour cream,dairy
4418,12-09-2014,long life bakery product,long life bakery product,bakery
4479,25-11-2014,rolls/buns,rollsbuns,bakery
2048,24-11-2014,berries,berries,berries
1083,15-11-2014,whole milk,whole milk,whole milk
3725,20-09-2014,rolls/buns,rollsbuns,bakery
2481,07-08-2014,root vegetables,root vegetables,root vegetables
1133,03-08-2014,pastry,pastry,pastry
4464,19-05-2014,soda,soda,soda
1591,19-12-2014,white bread,white bread,bakery
1964,30-08-2014,pickled vegetables,pickled vegetables,pickled vegetables
4594,28-11-2014,rolls/buns,rollsbuns,bakery
1087,13-10-2014,white bread,white bread,bakery
1664,06-10-2014,sugar,sugar,sweeteners
2233,29-10-2014,pastry,pastry,pastry
4300,01-10-2014,yogurt,yogurt,yogurt
1955,16-11-2014,yogurt,yogurt,yogurt
3215,26-02-2014,bottled water,bottled water,bottled water
1407,03-11-2014,butter,butter,butter
2401,28-02-2014,specialty chocolate,specialty chocolate,sweets
4771,02-11-2014,citrus fruit,citrus fruit,citrus fruit
1776,28-04-2014,butter,butter,butter
2185,04-09-2014,cream cheese ,cream cheese,dairy
3465,30-09-2014,whipped/sour cream,whippedsour cream,dairy
4780,14-08-2014,salt,salt,spices
1798,04-07-2014,other vegetables,other vegetables,vegetables
4148,26-06-2014,whipped/sour cream,whippedsour cream,dairy
2008,17-03-2014,soda,soda,soda
4487,18-08-2014,whole milk,whole milk,whole milk
4962,06-06-2014,yogurt,yogurt,yogurt
2411,24-03-2014,soups,soups,soups
1879,02-10-2014,dessert,dessert,dessert
1419,21-10-2014,male cosmetics,male cosmetics,personal_care
3063,08-02-2014,tropical fruit,tropical fruit,tropical fruit
1483,03-01-2014,dessert,dessert,dessert
2329,28-05-2014,newspapers,newspapers,stationery
2524,22-08-2014,pip fruit,pip fruit,pip fruit
2239,01-12-2014,yogurt,yogurt,yogurt
3668,05-09-2014,pot plants,pot plants,gardening
2340,08-04-2014,rolls/buns,rollsbuns,bakery
4464,26-08-2014,other vegetables,other vegetables,vegetables
3737,06-04-2014,pork,pork,meat
3538,01-02-2014,yogurt,yogurt,yogurt
1772,13-11-2014,canned beer,canned beer,beverages
2451,02-08-2014,domestic eggs,domestic eggs,domestic eggs
3966,19-06-2014,frozen vegetables,frozen vegetables,vegetables
4135,11-05-2014,cream cheese ,cream cheese,dairy
2747,24-09-2014,pastry,pastry,pastry
1013,26-03-2014,frozen vegetables,frozen vegetables,vegetables
1356,19-12-2014,berries,berries,berries
4836,13-01-2014,cream cheese ,cream cheese,dairy
1784,05-09-2014,rolls/buns,rollsbuns,bakery
2950,28-04-2014,whole milk,whole milk,whole milk
2602,20-01-2014,whole milk,whole milk,whole milk
1087,20-04-2014,whole milk,whole milk,whole milk
3111,01-06-2014,UHT-milk,uhtmilk,uhtmilk
2831,18-05-2014,soda,soda,soda
3428,21-10-2014,butter milk,butter milk,dairy
3232,12-11-2014,whipped/sour cream,whippedsour cream,dairy
4983,13-12-2014,baking powder,baking powder,baking_ingredients
4548,17-03-2014,napkins,napkins,napkins
4388,16-08-2014,rolls/buns,rollsbuns,bakery
2315,27-10-2014,beverages,beverages,beverages
3320,19-02-2014,bottled beer,bottled beer,beverages
2589,31-03-2014,whole milk,whole milk,whole milk
2376,08-11-2014,whipped/sour cream,whippedsour cream,dairy
2802,15-12-2014,frozen vegetables,frozen vegetables,vegetables
4771,06-03-2014,specialty vegetables,specialty vegetables,specialty vegetables
4917,02-12-2014,bottled beer,bottled beer,beverages
3578,10-09-2014,shopping bags,shopping bags,bags
2532,21-09-2014,bottled water,bottled water,bottled water
2091,18-01-2014,vinegar,vinegar,condiments
1661,21-01-2014,tidbits,tidbits,sweets
3517,24-10-2014,domestic eggs,domestic eggs,domestic eggs
4138,24-08-2014,processed cheese,processed cheese,dairy
1312,02-09-2014,skin care,skin care,personal_care
4678,13-03-2014,soap,soap,soap
1040,24-10-2014,white bread,white bread,bakery
4094,21-10-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4584,29-08-2014,whole milk,whole milk,whole milk
1696,23-08-2014,root vegetables,root vegetables,root vegetables
1553,23-07-2014,other vegetables,other vegetables,vegetables
4272,10-05-2014,soda,soda,soda
4066,07-08-2014,citrus fruit,citrus fruit,citrus fruit
1602,15-03-2014,pip fruit,pip fruit,pip fruit
2595,18-08-2014,brown bread,brown bread,brown bread
2440,22-06-2014,pip fruit,pip fruit,pip fruit
1764,03-01-2014,salty snack,salty snack,snacks
4505,24-06-2014,berries,berries,berries
2643,12-12-2014,rolls/buns,rollsbuns,bakery
2907,15-10-2014,processed cheese,processed cheese,dairy
2479,18-11-2014,whole milk,whole milk,whole milk
4071,16-12-2014,other vegetables,other vegetables,vegetables
4939,08-01-2014,whipped/sour cream,whippedsour cream,dairy
3756,15-11-2014,other vegetables,other vegetables,vegetables
4024,30-03-2014,UHT-milk,uhtmilk,uhtmilk
4132,04-11-2014,frozen fish,frozen fish,fish
3256,17-10-2014,sliced cheese,sliced cheese,sliced cheese
2396,10-05-2014,canned vegetables,canned vegetables,canned vegetables
2471,12-08-2014,ice cream,ice cream,ice cream
1248,14-08-2014,pip fruit,pip fruit,pip fruit
3957,03-10-2014,bottled water,bottled water,bottled water
4347,09-07-2014,margarine,margarine,margarine
3840,11-01-2014,butter,butter,butter
3864,30-12-2014,sliced cheese,sliced cheese,sliced cheese
3918,06-12-2014,chewing gum,chewing gum,chewing gum
3539,27-08-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4676,13-11-2014,other vegetables,other vegetables,vegetables
1589,11-01-2014,butter,butter,butter
4415,14-07-2014,whipped/sour cream,whippedsour cream,dairy
1597,23-12-2014,oil,oil,oils
2743,12-05-2014,chocolate,chocolate,sweets
3646,26-05-2014,whipped/sour cream,whippedsour cream,dairy
2796,18-04-2014,soda,soda,soda
4638,03-11-2014,margarine,margarine,margarine
2501,05-06-2014,pork,pork,meat
3082,07-09-2014,tropical fruit,tropical fruit,tropical fruit
3942,07-03-2014,condensed milk,condensed milk,condensed milk
1602,02-08-2014,beef,beef,beef
4668,04-05-2014,waffles,waffles,bakery
4661,30-05-2014,candy,candy,sweets
1889,16-11-2014,root vegetables,root vegetables,root vegetables
1097,26-11-2014,whole milk,whole milk,whole milk
3033,25-09-2014,whole milk,whole milk,whole milk
2251,06-02-2014,other vegetables,other vegetables,vegetables
4957,15-05-2014,frozen meals,frozen meals,frozen meals
2751,04-06-2014,dental care,dental care,dental care
2141,23-02-2014,potato products,potato products,vegetables
3667,15-04-2014,hard cheese,hard cheese,hard cheese
2531,24-08-2014,cereals,cereals,cereals
1785,25-05-2014,other vegetables,other vegetables,vegetables
3330,19-08-2014,spread cheese,spread cheese,dairy
2048,17-12-2014,other vegetables,other vegetables,vegetables
3337,19-08-2014,whole milk,whole milk,whole milk
3749,10-12-2014,waffles,waffles,bakery
4190,30-12-2014,cake bar,cake bar,sweets
1136,15-07-2014,butter milk,butter milk,dairy
4797,11-02-2014,pastry,pastry,pastry
1224,31-08-2014,cooking chocolate,cooking chocolate,cooking chocolate
3903,16-04-2014,bottled water,bottled water,bottled water
1803,25-10-2014,chocolate,chocolate,sweets
2056,26-12-2014,soda,soda,soda
1852,14-07-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4962,17-10-2014,pip fruit,pip fruit,pip fruit
4183,26-03-2014,other vegetables,other vegetables,vegetables
2673,23-04-2014,soda,soda,soda
4348,06-08-2014,whole milk,whole milk,whole milk
2629,26-05-2014,candy,candy,sweets
1256,14-10-2014,other vegetables,other vegetables,vegetables
1051,13-01-2014,bottled beer,bottled beer,beverages
4014,31-07-2014,pip fruit,pip fruit,pip fruit
4078,11-01-2014,hard cheese,hard cheese,hard cheese
3962,13-12-2014,rolls/buns,rollsbuns,bakery
3182,19-02-2014,Instant food products,instant food products,ready_meals
1013,28-03-2014,whipped/sour cream,whippedsour cream,dairy
1913,14-12-2014,UHT-milk,uhtmilk,uhtmilk
2694,09-10-2014,rolls/buns,rollsbuns,bakery
2952,24-09-2014,skin care,skin care,personal_care
2849,28-05-2014,sauces,sauces,condiments
2608,17-10-2014,whole milk,whole milk,whole milk
1966,23-09-2014,hard cheese,hard cheese,hard cheese
2361,15-12-2014,specialty bar,specialty bar,specialty bar
4469,29-11-2014,tropical fruit,tropical fruit,tropical fruit
4910,27-11-2014,mayonnaise,mayonnaise,condiments
1526,13-07-2014,rolls/buns,rollsbuns,bakery
2772,07-11-2014,specialty bar,specialty bar,specialty bar
2059,07-09-2014,napkins,napkins,napkins
1793,25-08-2014,hard cheese,hard cheese,hard cheese
4753,01-12-2014,white wine,white wine,beverages
4915,11-01-2014,rolls/buns,rollsbuns,bakery
1281,28-07-2014,hamburger meat,hamburger meat,meat
3262,16-04-2014,frozen meals,frozen meals,frozen meals
4391,23-01-2014,salty snack,salty snack,snacks
4751,29-11-2014,rolls/buns,rollsbuns,bakery
4643,09-03-2014,bottled water,bottled water,bottled water
4015,18-12-2014,yogurt,yogurt,yogurt
3561,28-12-2014,whole milk,whole milk,whole milk
1018,01-10-2014,long life bakery product,long life bakery product,bakery
1065,23-01-2014,soda,soda,soda
4779,07-05-2014,pastry,pastry,pastry
4615,29-10-2014,canned fish,canned fish,canned fish
4522,27-05-2014,soda,soda,soda
2207,09-04-2014,pip fruit,pip fruit,pip fruit
3866,19-08-2014,hygiene articles,hygiene articles,hygiene articles
2530,30-10-2014,sliced cheese,sliced cheese,sliced cheese
1189,23-02-2014,dessert,dessert,dessert
4499,25-06-2014,specialty bar,specialty bar,specialty bar
4828,26-08-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1738,15-07-2014,soda,soda,soda
1587,15-05-2014,frozen vegetables,frozen vegetables,vegetables
4206,27-11-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
3118,07-11-2014,salty snack,salty snack,snacks
4462,28-03-2014,misc. beverages,misc beverages,misc beverages
2872,06-08-2014,whole milk,whole milk,whole milk
1791,05-08-2014,cream cheese ,cream cheese,dairy
2809,01-04-2014,berries,berries,berries
2568,22-12-2014,candy,candy,sweets
3758,16-07-2014,whipped/sour cream,whippedsour cream,dairy
4237,20-05-2014,pastry,pastry,pastry
4779,15-06-2014,specialty bar,specialty bar,specialty bar
3575,16-11-2014,soda,soda,soda
2097,28-09-2014,processed cheese,processed cheese,dairy
3573,13-10-2014,chocolate,chocolate,sweets
2425,11-11-2014,dessert,dessert,dessert
1115,03-08-2014,butter,butter,butter
3518,10-08-2014,spread cheese,spread cheese,dairy
3073,06-07-2014,pastry,pastry,pastry
1654,07-06-2014,other vegetables,other vegetables,vegetables
2343,06-04-2014,salty snack,salty snack,snacks
4499,20-12-2014,canned vegetables,canned vegetables,canned vegetables
3910,30-12-2014,butter,butter,butter
3893,08-01-2014,canned beer,canned beer,beverages
2713,07-11-2014,napkins,napkins,napkins
4510,12-03-2014,hard cheese,hard cheese,hard cheese
1466,25-04-2014,popcorn,popcorn,snacks
4636,28-07-2014,salt,salt,spices
1554,23-05-2014,soda,soda,soda
3039,20-08-2014,root vegetables,root vegetables,root vegetables
4124,31-05-2014,soda,soda,soda
1533,15-03-2014,shopping bags,shopping bags,bags
4110,03-12-2014,bottled beer,bottled beer,beverages
3042,14-09-2014,napkins,napkins,napkins
4915,28-06-2014,whole milk,whole milk,whole milk
3271,20-11-2014,soda,soda,soda
1245,27-09-2014,white bread,white bread,bakery
4915,20-02-2014,onions,onions,vegetables
4062,27-11-2014,sugar,sugar,sweeteners
3687,01-10-2014,other vegetables,other vegetables,vegetables
3020,13-06-2014,bottled beer,bottled beer,beverages
2388,20-02-2014,berries,berries,berries
3896,11-07-2014,dishes,dishes,dishes
1453,13-03-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
1294,05-07-2014,semi-finished bread,semifinished bread,semifinished bread
3034,06-10-2014,pip fruit,pip fruit,pip fruit
1707,22-12-2014,brown bread,brown bread,brown bread
1676,15-05-2014,misc. beverages,misc beverages,misc beverages
1652,15-03-2014,pastry,pastry,pastry
1573,18-05-2014,other vegetables,other vegetables,vegetables
3712,14-08-2014,canned beer,canned beer,beverages
3045,15-06-2014,other vegetables,other vegetables,vegetables
1827,01-09-2014,pastry,pastry,pastry
4860,13-01-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4353,12-07-2014,coffee,coffee,coffee
4782,12-10-2014,rolls/buns,rollsbuns,bakery
1687,31-07-2014,house keeping products,house keeping products,household
1421,26-12-2014,shopping bags,shopping bags,bags
1110,13-10-2014,chocolate,chocolate,sweets
2838,28-04-2014,waffles,waffles,bakery
3347,21-11-2014,pastry,pastry,pastry
1159,06-02-2014,domestic eggs,domestic eggs,domestic eggs
1309,10-08-2014,whipped/sour cream,whippedsour cream,dairy
3573,26-08-2014,frozen meals,frozen meals,frozen meals
4673,20-08-2014,specialty chocolate,specialty chocolate,sweets
2898,07-01-2014,bottled water,bottled water,bottled water
2820,24-11-2014,soda,soda,soda
4250,17-01-2014,pet care,pet care,pet_care
3909,13-08-2014,rice,rice,grains
1289,09-08-2014,spread cheese,spread cheese,dairy
4561,04-09-2014,grapes,grapes,fruits
1618,03-04-2014,whole milk,whole milk,whole milk
4987,12-04-2014,cream cheese ,cream cheese,dairy
1053,16-05-2014,rolls/buns,rollsbuns,bakery
1829,26-02-2014,rolls/buns,rollsbuns,bakery
4601,27-03-2014,root vegetables,root vegetables,root vegetables
3101,02-09-2014,newspapers,newspapers,stationery
4087,04-09-2014,other vegetables,other vegetables,vegetables
3276,08-08-2014,curd cheese,curd cheese,dairy
2901,14-04-2014,tropical fruit,tropical fruit,tropical fruit
1332,18-04-2014,other vegetables,other vegetables,vegetables
3368,21-08-2014,cream cheese ,cream cheese,dairy
4450,01-02-2014,condensed milk,condensed milk,condensed milk
2843,14-04-2014,canned vegetables,canned vegetables,canned vegetables
3512,19-01-2014,butter milk,butter milk,dairy
2380,21-05-2014,whole milk,whole milk,whole milk
2371,22-05-2014,other vegetables,other vegetables,vegetables
1065,05-11-2014,rolls/buns,rollsbuns,bakery
1969,10-02-2014,rolls/buns,rollsbuns,bakery
2308,13-04-2014,yogurt,yogurt,yogurt
2350,30-05-2014,tidbits,tidbits,sweets
1493,28-01-2014,root vegetables,root vegetables,root vegetables
4036,03-08-2014,cream cheese ,cream cheese,dairy
3293,19-01-2014,vinegar,vinegar,condiments
4646,16-01-2014,shopping bags,shopping bags,bags
1163,30-04-2014,frozen vegetables,frozen vegetables,vegetables
2273,14-08-2014,whipped/sour cream,whippedsour cream,dairy
3384,23-07-2014,fruit/vegetable juice,fruitvegetable juice,fruitvegetable juice
4940,20-08-2014,dessert,dessert,dessert
4528,27-06-2014,spread cheese,spread cheese,dairy
